description,category
Zomato Order UPI,Food
Swiggy Food Delivery,Food
Starbucks Coffee India,Food
KFC Restaurant Bill,Food
Burger King Meal,Food
Dominos Pizza Online,Food
Haldirams Sweets,Food
Maggi Point Stall,Food
Tea Post Cutting,Food
Baskin Robbins Icecream,Food
Jio Prepaid Recharge,Bills
Airtel Digital TV,Bills
Airtel Postpaid Bill,Bills
Vodafone Idea Monthly,Bills
Electricity Bill - Torrent,Bills
Gas Connection - Indane,Bills
Water Tax Payment,Bills
HDFC Credit Card Payment,Bills
HDFC Bank Home Loan EMI,Rent/EMI
SBI Mortgage Payment,Rent/EMI
Monthly House Rent,Rent/EMI
Axis Bank Personal Loan,Rent/EMI
Netflix Monthly Sub,Entertainment
Amazon Prime Video,Entertainment
Hotstar Subscription,Entertainment
Spotify Premium,Entertainment
BookMyShow PVR Ticket,Entertainment
Gaming In-App Purchase,Entertainment
Amazon Shopping App,Shopping
Flipkart Festive Sale,Shopping
Myntra Kurta Set,Shopping
Ajio Fashion Order,Shopping
FirstCry Baby Products,Shopping
Nykaa Beauty Makeup,Shopping
Petrol Pump HPCL,Fuel
Bharat Petroleum XP95,Fuel
Shell V-Power Petrol,Fuel
CNG Filling Station,Fuel
Uber India Trip,Travel
Ola Cabs Booking,Travel
IndiGo Flight Ticket,Travel
IRCTC Train Booking,Travel
Auto Rickshaw UPI,Travel
Apollo Pharmacy Meds,Health
Pharmeasy Medicine,Health
Hospital Consultation,Health
Gym Workout Fees,Health
Cult.fit Membership,Health
BigBasket Groceries,Groceries
Blinkit Grocery Delivery,Groceries
Zepto Daily Essentials,Groceries
Local Sabji Mandi,Groceries
Mother Dairy Milk,Groceries
Urban Company Service,Lifestyle
Barber Shop Haircut,Lifestyle
Laundry Service UPI,Lifestyle
Gifts for Friend,Lifestyle
Movie Popcorn Combo,Entertainment
Subway Sandwich,Food
McDonalds Happy Meal,Food
PhonePe Recharge,Bills
Google Play Store,Entertainment
Tata Sky DTH,Bills
LIC Premium Payment,Bills
Property Tax,Bills
Bajaj Finance EMI,Rent/EMI
Furniture Rent,Rent/EMI
Pantaloons Clothing,Shopping
Decathlon Sports,Shopping
Nike Store Shoes,Shopping
Zara Fashion,Shopping
Reliance Digital,Shopping
Croma Electronics,Shopping
Apple Store Purchase,Shopping
Blue Tokai Coffee,Food
Third Wave Coffee,Food
Chaayos Masala Chai,Food
Barbeque Nation,Food
Taco Bell Order,Food
Pizza Hut Delivery,Food
Dmart Supermarket,Groceries
Spencer Retail,Groceries
More Supermarket,Groceries
Nature Basket,Groceries
Kalyan Jewellers,Lifestyle
Tanishq Diamond,Lifestyle
Saree Emporium,Shopping
FabIndia Ethnic,Shopping
MakeMyTrip Hotel,Travel
ClearTrip Booking,Travel
Rapido Bike Taxi,Travel
Zoomcar Rental,Travel
MedPlus Pharmacy,Health
Diagnostic Lab Test,Health
Dental Clinic,Health
Health Insurance Prem,Health
Yoga Class Fees,Health
Spa and Wellness,Lifestyle
Beauty Salon Bill,Lifestyle
Tailor Stitching,Lifestyle
Dry Cleaning,Lifestyle
Parking Charges,Travel
Toll Plaza Fastag,Travel
